Seller Name,House Location,Bedrooms,Bathrooms,Garage,pool encoder,garden encoder,Log_Price,Normalized_area
Timothy Mccarthy,Ernakulam,4.0,3.0,2.0,1,0,12.983220222540684,0.5812019177165794
Katie Rush MD,Kollam,5.0,1.0,2.0,0,0,12.744294754832534,0.4019623146393132
Matthew Baker,Palakkad,1.0,2.0,3.0,0,1,12.531885630787729,0.2825510090311071
Laura Smith,Trivandrum,2.0,4.0,3.0,0,1,12.45013475028292,0.12128442412755044
Tanya Rowe,Kollam,4.0,4.0,2.0,0,0,12.437955576970806,0.08821496264912476
Matthew Kramer,Palakkad,1.0,2.0,0.0,1,0,12.659365454788796,0.32899988850485007
Paul Jones,Palakkad,1.0,4.0,1.0,0,1,12.292288001612544,0.0775337272828632
Kristy Ford,Palakkad,2.0,2.5510835913312695,0.0,1,0,13.092991578476575,0.8872784033894526
Bryan Torres,Palakkad,5.0,2.0,1.0,1,1,12.789244874725293,0.3268814806555915
Gerald Parks,Trivandrum,5.0,4.0,3.0,1,0,13.070299407175058,0.6359906344074033
Chad Harris,Thrissur,2.0,3.0,3.0,0,1,13.095677659899291,0.49117894420975405
Karen Sherman,Kollam,3.0,3.0,3.0,0,0,12.620271833607013,0.2350094770877467
Chad Johnson,Trivandrum,5.0,2.0,2.0,1,0,12.473804096235137,0.16099899654365032
Riley Colon,Kollam,3.0,3.0,1.0,0,1,13.03087883251814,0.8331809566283868
Rachel White,Trivandrum,5.0,4.0,2.0,0,1,12.880312707706116,0.313011484000446
Brandi Raymond,Palakkad,4.0,3.0,2.0,1,1,12.912850677490553,0.22220983387222662
Timothy Day,Ernakulam,5.0,3.0,2.0,0,0,12.915653672665938,0.35914817705429813
Jessica Berg,Thrissur,3.0,1.0,1.0,1,1,12.832047573056862,0.4152079384546773
Adam Parker,Thrissur,5.0,1.0,2.0,0,1,12.589995067317165,0.10877466830192886
Amanda Gomez,Kollam,3.0,4.0,1.0,0,1,13.011225113771223,0.7500947708774669
Bryan Whitney,Ernakulam,5.0,2.0,3.0,0,0,13.157574833447228,0.8551009031107147
Andrew Cooper,Kollam,2.0,1.0,0.0,0,1,11.815817871556817,0.03561155089753598
Scott Perry,Thrissur,2.0,4.0,2.0,1,0,13.101415678363661,0.8555022856505743
Joshua Smith,Kollam,1.0,4.0,0.0,1,0,12.53949480682573,0.21023525476641772
Brett White,Palakkad,2.0,2.0,0.0,1,0,12.986780579228368,0.5965882484111943
Michael Bradford,Kollam,2.0,2.0,2.0,1,1,13.030296508376894,0.691894302597837
Juan Williams,Ernakulam,2.0,3.0,2.0,1,1,13.142363396982075,0.8541420448210504
Robin Obrien,Kollam,2.0,3.0,2.0,0,0,12.087311125063628,0.005507860408072246
Darrell Henry,Trivandrum,1.0,4.0,3.0,1,0,12.383892124831362,0.1651912141821831
Deborah Beasley,Ernakulam,5.0,2.0,1.0,0,1,12.9482875231723,0.5412866540305498
Alex Diaz,Thrissur,2.0,3.0,0.0,0,1,13.012188312604755,0.8646894860073587
Robin Briggs,Thrissur,1.0,1.0,2.0,0,0,12.827485127800468,0.7524584680566396
Joseph Smith,Trivandrum,1.0,1.0,1.0,0,1,12.055800359999225,0.1726613892295685
Kathleen Williams,Thrissur,4.0,4.0,2.0,0,0,12.841085739377329,0.443594603634742
Pamela Jones,Kollam,3.0,2.0,2.0,1,0,12.475245524839057,0.23915709666629506
Katelyn Griffin,Trivandrum,2.0,3.0,0.0,0,0,12.47724668205462,0.25349537295127667
Brian Roberts,Thrissur,1.0,3.0,1.0,1,1,12.746229327159325,0.31898762403835434
Charles Johnson,Thrissur,4.0,2.0,3.0,0,0,13.022641976454475,0.6994536737651913
